"Composer","DOB"
"Mary Anne à Beckett","1817"
"Michel van der Aa","1970"
"Thorvald Aagaard","1877"
"Truid Aagesen","1593"
"Heikki Aaltoila","1905"
"Juhan Aavik","1884"
"Evaristo Felice Dall'Abaco","1675"
"Joseph Abaco","1710"
"Antonio Maria Abbatini","1595"
"Gamal Abdel-Rahim","1924"
"Mohamed Abdelwahab Abdelfattah","1962"
"Keiko Abe","1937"
"Rosalina Abejo","1922"
"Carl Friedrich Abel","1723"
"Clamor Heinrich Abel","1634"
"Ludwig Abel","1835"
"Mark Abel","1948"
"Michael Abels","1962"
"Peter Abelard","1079"
"Nicanor Abelardo","1893"
"David Abell","1576"
"John Abell","1653"
"Walter Abendroth","1896"
"Jan Håkan Åberg","1916"
"Lasse Åberg","1940"
"Johann Joseph Abert","1832"
"Willoughby Bertie","1740"
"Peter Ablinger","1959"
"Lora Aborn","1907"
"Girolamo Abos","1715"
"Paul Abraham","1892"
"Maurice Abrahams","1883"
"Hans Abrahamsen","1952"
"Harriett Abrams","1758"
"Alexander Abramsky","1898"
"Kornél Ábrányi","1822"
"Zequinha de Abreu","1880"
"Ayoob Tarish","1942"
"Jean Absil","1893"
"Franz Abt","1819"
"Henry Abyngdon","1418"
"Filippo Acciaiuoli","1637"
"Jean-Baptiste Accolay","1833"
"Joseph Achron","1886"
"Dieter Acker","1940"
"Marcial del Adalid y Gurréa","1826"
"Adolphe Adam","1803"
"Adam de la Halle","1237"
"Adam of Fulda","1445"
"Adolphe Adam","1803"
"Mark Adamo","1962"
"Alton Adams","1889"
"Leslie Adams","1932"
"John Adams","1947"
"John Luther Adams","1953"
"Stephen Adams","1841"
"Thomas Adams","1785"
"Ella Adayevskaya","1846"
"Richard Addinsell","1904"
"John Addison","1765"
"John Addison","1920"
"Thomas Adès","1971"
"Vasif Adigozalov","1935"
"Hugo Chaim Adler","1894"
"Larry Adler","1914"
"Samuel Adler","1928"
"Anton Cajetan Adlgasser","1729"
"Bruce Adolphe","1955"
"Olle Adolphson","1934"
"Theodor W. Adorno","1903"
"Emmanuel Adriaenssen","1554"
"John Adson","1587"
"Josina van Aerssen","1733"
"Nikolay Afanas'yev","1820"
"Zeca Afonso","1929"
"Agostino Agazzari","1578"
"Klaus Ager","1946"
"Milton Ager","1893"
"François d'Agincourt","1684"
"Maria Teresa Agnesi","1720"
"Lejla Agolli","1950"
"Lodovico Agostini","1534"
"Paolo Agostino","1583"
"Johan Agrell","1701"
"Alexander Agricola","1446"
"Johann Friedrich Agricola","1720"
"Martin Agricola","1486"
"Dionisio Aguado","1784"
"Graciela Agudelo","1945"
"Ernani Aguiar","1950"
"Miguel del Águila","1957"
"Sebastian Aguilera de Heredia","1561"
"Eden Ahbez","1908"
"Johann Georg Ahle","1651"
"Johann Rudolph Ahle","1625"
"Maria Theresia Ahlefeldt","1755"
"Jacob Niclas Ahlström","1805"
"Ahn Eak-tai","1906"
"Oscar Ahnfelt","1813"
"Kalevi Aho","1949"
"Sieglinde Ahrens","1936"
"Gregor Aichinger","1565"
"Karl Stefan Aichelburg","1782"
"John Akar","1927"
"Doris Akers","1923"
"Toshiko Akiyoshi","1929"
"Necil Kazım Akses","1908"
"Yasushi Akutagawa","1925"
"Jehan Alain","1911"
"Pierre Alamire","1470"
"Jean-Delphin Alard","1815"
"Albena Petrovic-Vratchanska","1965"
"Isaac Albéniz","1860"
"Mateo Albéniz","1755"
"Pedro Albéniz","1795"
"Pere Alberch Vila","1517"
"Petur Alberg","1885"
"Eleanor Alberga","1949"
"Pirro Albergati","1663"
"Eugen d'Albert","1864"
"Heinrich Albert","1604"
"Stephen Albert","1941"
"Thomas Albert","1948"
"Domenico Alberti","1710"
"Gasparo Alberti","1489"
"Giuseppe Matteo Alberti","1685"
"Innocentio Alberti","1535"
"Johann Friedrich Alberti","1642"
"Ignazio Albertini","1644"
"Joachim Albertini","1748"
"Giovanni Henrico Albicastro","1660"
"Tomaso Albinoni","1671"
"Charles Albrecht","1817"
"Johann Georg Albrechtsberger","1736"
"William Albright","1944"
"Mark Alburger","1957"
"Nilo Alcala","1978"
"Macedonio Alcalá","1831"
"Luna Alcalay","1928"
"José Bernardo Alcedo","1788"
"Michael Alcorn","1962"
"Amancio Jacinto Alcorta","1805"
"Casimiro Alcorta","1840"
"Henry Aldrich","1647"
"Amanda Christina Elizabeth Aldridge","1866"
"Robert Aldridge","1954"
"Giuseppe Aldrovandini","1671"
"Vittoria Aleotti","1575"
"Leni Alexander","1924"
"Liana Alexandra","1947"
"Franco Alfano","1875"
"Alfonso X of Castile","1221"
"Kenneth J. Alford","1881"
"Hugo Alfvén","1872"
"Charlotte Alington Barnard","1830"
"Francesc Alió","1862"
"Franghiz Ali-Zadeh","1947"
"Charles-Valentin Alkan","1813"
"Siegfried Alkan","1858"
"Esther Allan","1914"
"Gregorio Allegri","1582"
"Steve Allen","1921"
"Pedro Humberto Allende","1885"
"Juan Allende-Blin","1928"
"Kristi Allik","1952"
"Richard Allison","1560"
"Frances Allitsen","1848"
"Francisco António de Almeida","1702"
"João Pedro de Almeida Mota","1744"
"Laurindo Almeida","1917"
"Atso Almila","1953"
"Carl Jonas Love Almqvist","1793"
"Eyvind Alnæs","1872"
"Daniel Alomía Robles","1871"
"Francisco Alonso","1887"
"Eduardo Alonso-Crespo","1956"
"Yardena Alotin","1930"
"Birgitte Alsted","1942"
"Johann Ernst Altenburg","1734"
"Michael Altenburg","1584"
"Martha Alter","1904"
"Johann Christoph Altnickol","1720"
"Fermín María Álvarez","1833"
"Antonio Álvarez Alonso","1867"
"Miguel Álvarez-Fernández","1979"
"Elias Parish Alvars","1808"
"Maria de Alvear","1960"
"Berta Alves de Sousa","1906"
"William Alwyn","1905"
"Alexander Alyabyev","1787"
"Maryanne Amacher","1943"
"Filippo Amadei","1665"
"Amalia Catharina","1640"
"Princess Amalie of Saxony","1794"
"W. D. Amaradeva","1927"
"Joan Albert Amargós","1950"
"Miguel de Ambiela","1655"
"August Wilhelm Ambros","1816"
"Marco Ambrosini","1964"
"Bjarne Amdahl","1903"
"René Amengual","1911"
"Jean-Claude Amiot","1939"
"Emanuel Amiran-Pougatchov","1909"
"Charles Amirkhanian","1945"
"Elias Ammerbach","1530"
"John Amner","1579"
"Cataldo Amodei","1650"
"David Amram","1930"
"Gilbert Amy","1936"
"Juan de Anchieta","1462"
"Solange Ancona","1943"
"Laura Andel","1968"
"Gwyneth Van Anden Walker","1947"
"Avril Anderson","1953"
"Beth Anderson","1950"
"Johann Andreas Amon","1763"
"Fritz Andersen","1829"
"Joachim Andersen","1847"
